Ano_1998,Ano_1999,Ano_2000,Ano_2001,Ano_2002,Ano_2003,Ano_2004,Ano_2005,Ano_2006,Ano_2007,Ano_2008,Ano_2009,Ano_2010,Ano_2011,Ano_2012,Ano_2013,Ano_2014,Ano_2015,Ano_2016,Ano_2017,Ano_2018,Ano_2019
13.2,9.28,10.9,10.9,5.15,4.39,2.74,8.9,8.85,8.59,8.24,7.21,6.08,7.38,18.5,24.2,23.2,36.3,31.3,30,34.7,64
9.17,6.06,6.36,4.85,6.69,8.62,10,13.1,25.6,27.3,30.9,34.6,22.9,27.9,25.9,32.1,8.72,19.7,52.9,58.3,74.1,89
2,19.3,28.4,31.5,135.8,217.1,191.7,46.8,64.7,100.4,33.8,238.3,299.7,126.7,189.7,521,1190.5,1541.1,1407.9,869.7,-416.8,-331.8
9.73,9.77,10.1,8.62,10.1,10.3,10.6,11.5,12.3,17.5,27,76.9,92.2,111.1,130.3,160.7,93.6,106.6,80.4,121.4,145.7,156.7
3.38,3.87,4.27,6.21,3.8,3.35,4.25,3.73,5.1,8.03,9.69,6.68,12.9,18.2,14,23.5,25.5,25,21.6,30.8,31.2,22.9
15.1,15.5,10.9,9.82,9.92,11.1,8.84,12.1,13.4,22.5,15.2,18.5,18,62.4,38.9,49.5,41.6,37,45.1,42.1,31.6,34.2
4,2.2,0.375,0.288,1.26,1.15,0.527,0.213,0.853,4.14,3.62,5.24,28.4,-6.51,4.25,5.66,6.73,22.3,32.5,8.59,6.08,9.62
18.4,14.3,10.1,15.5,8.6,9.67,13.7,14.1,13.7,16.3,9.85,14.5,-5.58,-14.5,-29,-22.2,-41.6,47.4,108.5,27.5,29.2,-2.71
8.58,4.74,5.6,3.41,1.68,-26.6,1.79,3.73,2.98,8.97,6.42,9.63,10.7,6.21,11,15.8,25.3,35.1,38.4,41.9,22.6,13.5
-3.87,0.705,1.09,0.165,-3.06,-1.91,0.144,-2.69,-2.29,-4.04,-1.01,0.424,-0.948,0.024,0.52,-2.26,1.1,-2.92,-5.82,2.27,-4.09,-0.115
4.22,-13.7,-2.42,1.11,1.92,7.52,13,15.4,17.6,37.6,46.1,67.5,61.5,66.1,63.3,61,79.5,77.7,62.6,54.4,65.9,68.6
4.89,4.49,5.63,4.36,4,6.91,15.5,13.6,12.3,49.4,-24.6,9.22,-84.8,-141.8,-107.2,-63.1,-64.4,-48.7,2.25,1.35,3.7,4.38
4.98,13.4,15.5,24.6,19.5,42,55.7,30,21.2,40.8,158.9,26.6,86.4,51.2,39.7,28.7,34.5,45.6,10.7,80.8,66.7,54.7
0.817,-64.1,-2.31,-24.3,-43.1,3.59,-7.44,-29.8,7.92,1.57,4.28,88.3,160.6,253.7,233.9,183.3,149,67,64.6,77.5,61.5,52
17.1,26.9,37.7,31.4,28.5,34,39,38.9,63.5,48.8,57.2,110.5,41.4,18.5,24,20.6,37.1,60.5,37.7,60.8,332,-5.79
6.88,5.62,11.6,10.1,11.2,8.8,4.46,-56.4,-111.1,-44.3,-45.9,-46.9,-33.5,-34.2,0.239,-15.9,1.05,0.179,2.41,-13.5,-25.4,1.91
5.42,5.73,7.19,8.56,8.85,11.3,12.1,14.2,11.4,13.8,18.9,20.1,23.5,29.4,30.1,42.2,44.7,35.8,10.3,17.7,22,35.1
9.96,3.87,2.24,2.11,7.59,4.01,3.26,10.9,41,42.9,16.6,55.4,93.1,88.1,32.7,38.1,52.6,42.4,49.2,85.3,796.6,991.9
7.74,3.87,-10.1,-27.5,-9.54,3.01,-10.1,-6.52,5.98,5.43,38.7,30.7,35.7,72.8,58.6,43,56.7,17.9,85.9,125.1,119.7,129.6
5.3,19.2,6.85,4.96,4.57,5.08,9.67,12.4,17.8,28.3,30.5,29.2,60.8,81.5,79.5,86.4,124.6,138.1,2.44,241.8,13.8,-0.757
4.68,3.61,3.03,1.57,-0.878,0.34,1.24,1.78,2.17,32.6,10.1,6.8,6.76,5.96,7.37,10.2,7.77,13.6,12.3,3.56,11.6,16.5
5.73,5.4,5.88,5.81,6.26,4.38,6.78,20.1,5.91,10.1,9.23,4.42,9.82,17.7,-5.05,11.6,-17.9,-11.4,23.8,72.3,199.4,195
5.18,5.77,12.2,14.5,19.9,17.5,19.4,29.1,-40.2,3.29,29.6,68.3,49.5,78.4,36.5,2.86,3.59,-137.5,-3.2,133.9,85.2,195.8
9.83,12.1,12.7,10.6,21,18.7,-82.6,-70,21,31.8,41.5,37.5,-10.6,5.62,-62.9,-3.74,-0.927,39.2,126.8,204.6,126.5,105.9
131,35.9,161.7,114.5,36.2,74.2,108.3,105.1,44.7,108.1,215.7,401.5,445.7,524.4,825.9,942.9,1038.8,265.1,159.8,401.8,457.7,298.8
30.3,-28.2,-16.2,-4.43,-12.1,1.74,2.45,17.1,15.5,28.8,20.4,27.3,32.7,29.5,30.2,32.4,14.4,3.94,18.8,-8.53,-47.2,48.3
-9.92,-2.29,11.9,7.92,4.68,5.7,12.9,11.7,-12.2,-2.76,12.7,4.48,11.3,9.95,10.1,9.64,-5.12,-23.4,-44.7,12,8.99,-1.07
-0.999,-81.4,4.79,16.8,28.8,33.6,116.2,183,276.3,349.7,309.5,561.8,504.2,169.2,250.9,344.9,322.2,249.6,406.4,275.5,268.2,499.9
-6.52,11,17.9,19.3,9.78,26.2,49.1,74.5,103.4,120.1,17.4,5.26,7.62,3.88,2.91,1.25,9.9,9.27,17.7,18.1,11.8,15.2
470.6,-54.6,358.9,87.9,-260.3,416.8,300.8,534.3,584.8,979.7,341.1,1236.9,1392.8,1027.3,1282.8,1141,516.3,153.5,1282.4,1063.1,1015.7,1168.2
17.9,16.6,30.6,53.5,51.9,116,109.6,113,114.5,131.4,108,130.7,143.2,230.3,270.1,248.2,221.6,135.3,259.3,279.7,291.3,396.9
33,11.9,44,47.1,58.5,83.5,103.8,74.8,34.2,-122.1,1.59,8.86,39.9,-5.85,11.1,-4.4,-36.7,-17.3,-58.6,-21.9,43.6,-45.3
28.1,16.9,31.3,23.3,17.8,21.2,36.6,53.1,52.9,98,80.2,126.4,151.7,194.2,206.5,212.5,177.7,105,125.7,144.2,60.3,135.9
32.6,18.8,24.9,30.3,-43.8,8.78,-1.17,52.9,-59,102.5,50.4,48,23.7,-0.501,59.3,-13.6,-32.2,31.8,29,88.9,4.03,50.8
13.4,23.1,24.5,32.1,14.5,20.1,10,60.3,163.6,197.2,171.5,280.4,354.6,313,298.4,84.8,101.7,123,162.7,168.8,122.9,131.5
-168.1,-120.5,-48.8,-45.1,-48.4,-50.1,0.588,19.1,-4.31,63.4,76.4,769.2,138.6,55.5,193.5,-109.3,-152.5,17.1,373.1,117.1,65.5,108.6
-1.71,1.37,0.948,-0.527,-0.313,1.42,1.34,-0.314,-0.893,4.34,-19.5,-3.42,18.8,7.32,1.9,7,-1.14,3.89,1.9,-39.3,-10,-18.9
-45,-18.1,-12.8,-10.9,-3.32,0.808,0.737,-18.5,0.421,-6.64,9.2,99.6,-15.7,-6.19,1.99,-3.08,13.6,-20.7,79.1,5.94,0.949,-9.18
457.6,225.2,306.8,273.5,-38.2,93.7,225.7,310.2,780.4,1019.1,716.8,578,1064.4,850,474.8,702.1,652.9,410.9,428.4,420.5,505.3,672.3
487,-63,969.7,123.6,-224.3,371.5,1053.8,1233,447.8,2211.1,1121.6,1670.7,1979.1,1745.4,427.1,270.2,40.7,-208.3,-284.3,-35.2,720.5,413.9
-4.03,-2.16,3.77,-4.8,-3.92,-5.77,9.14,21.1,3.19,3.94,15.8,12.3,18.2,15.1,18.9,14.6,0.359,-8.6,-1.51,5.79,26.3,2.55
-6.24,-57.7,74.4,71.3,24.6,58.3,110.2,283.6,312,475.1,363.1,600.5,671.8,463.9,374,248.8,218.9,127.8,100.9,76.6,208,320.4
0.205,-0.138,-0.686,1.09,0.414,0.042,-1.07,0.107,1.41,-7,-7.93,-2.92,-2.82,-3.32,1.9,5.78,4.59,4.32,5.26,1.42,0.65,-6.14
2.6,18.2,37.6,49,81.6,141.4,260.7,379.4,389.5,665,925.3,173.4,298.1,168.1,-135,-215.9,1.06,450.5,360.5,253.1,64.1,150.9
-15.3,-6.16,-5.95,-0.23,-4.33,-3.45,1.78,0.323,3.17,4.38,1.11,56.9,83.7,86,82.2,91.3,68.4,48.1,92.8,-22.8,-581.7,-292.2
0.225,6.48,6.06,8.61,7.14,7.57,10.6,12.1,28.1,16.9,15.1,21.6,18.6,15.9,6.88,17.1,15.9,15.6,18.6,24.6,21.9,27.2
5.03,-19.2,21.5,18.8,22.3,28.1,48,51.2,58.1,93.9,101.6,159.6,291.1,244.8,104.7,319.5,147.8,95,139.1,147.7,83.4,134.9
3.63,2.45,-88,1.72,9.71,5.85,3.99,13.5,38.1,142.7,154.9,106.3,120.7,76,0.334,-88.4,-25.2,61.8,-7.16,-123.1,-254.5,-137.1
10.4,7.94,2.94,3.95,4.49,1.08,1.2,2.04,2.85,14.6,15.4,16.9,9.41,7.98,-15.1,-30.1,2.1,17.8,-4.71,7.33,3.18,8.37
-11.8,2.5,3.75,-7.58,-20.5,0.684,-11.1,-6.3,3.27,0.53,1.2,-1.77,-5.44,-3.72,-3.22,-5.49,-7.47,37.8,109.1,90.5,-79.8,17.2
3.39,5.42,7.72,8.27,7.5,9.31,8,9.87,10.6,16.2,21.2,17.3,29.6,27,17.2,-2.41,3.48,5.55,10.9,13.5,14.3,18.9
1.5,1.69,3.2,2.59,4.12,2.72,5.32,2.9,1.62,1.92,-18.3,2.96,0.549,2.07,3.14,28.6,-3.55,-0.145,1.61,1.43,2.93,-2.67
7.52,8.85,6.68,8.54,6.2,-0.682,9.19,13.6,10,9.95,33,47.4,84.7,54,51.4,57,32.8,-53.4,11.1,-2.97,-58.8,-53.8
7.05,5.97,7.91,7.86,5.44,3.22,3.64,2.38,3.84,4.97,2.5,2.84,-1.68,-5.52,-3.11,-1.66,0.883,3.65,-3.13,0.792,0.975,3.76
5.66,2.81,-0.892,1.17,-9.68,-7.8,-48.6,-3.13,4.27,10.4,2.24,-9.38,-6.46,-42.9,1.3,-48.7,-1.34,-10.6,-40.2,57.5,1.6,-48.8
4.52,4.15,4.87,3.12,1.41,1.03,1.04,1.58,1.17,1.93,0.409,5.45,4.88,5.24,0.133,2.1,4.49,-3.03,6.39,7.51,-2.25,5.67
8.09,9.75,8.48,8.63,11.6,15.7,16.4,16.4,34,48.2,50.5,49.9,28.2,35,51.7,56.3,60.3,67.5,104.3,131.4,128.4,121.8
8.68,8.67,12.2,13.3,17,18.4,27,52.8,65.5,75.6,4.5,7.06,54.9,80.7,212.8,276.6,282.6,207,163.2,206.5,233,207.7
-5.92,0.218,0.177,0.197,-2.28,-8.61,-3.04,0.655,-1.49,-1.51,-1.4,-1.65,-2.02,1.18,1.07,0.653,0.173,-0.4,28.5,17,-12.4,-34.5
17.9,28.2,25.6,15.4,0.839,2.64,8.4,-17,22.2,5.35,-129,13.1,-7.73,-27.3,23.7,-2.41,45.4,102.4,6.31,-112.4,-23.1,8.58
218.5,226.3,250.1,259.3,242.8,345.2,442.6,492.1,626.6,848.8,55.5,423.3,697.1,515.2,1178.3,1461.1,1243.3,1159.4,600.5,423.4,616.1,999.7
15,18.3,26.2,6.83,6.11,-21.3,7.54,-83.3,-90.3,-1.99,19.1,23.6,14,34.3,43.1,44.5,48.7,-29.1,-221.8,-295.9,-5.45,-95
18.2,23,21.1,25,35.1,27.7,36.1,35.8,49.9,107.1,85.4,109.3,107.9,86.4,100.1,94.1,109.4,112.3,113.8,177.6,186.1,137
9.07,9.58,2.48,-17.6,0.556,-24.7,-22.3,0.692,1.52,2.07,0.358,-7.61,0.907,23.3,36.7,34.1,69.2,94.1,111.7,144,152.7,52.6
2.78,2.95,2.77,2.32,2.69,2.46,3.43,3.83,4.04,5.38,5.44,6.55,8.17,7.01,5.72,2.12,-2.85,5.66,4.2,-0.792,-1.3,2.35
-66.8,4.47,33.1,5.66,-11.9,0.993,-63.3,-23.1,-1.83,-26.2,-39.6,15.3,1.88,0.878,0.113,3.7,10.1,-1.09,66.7,108,103.6,121.3
-1.31,-1.44,0.058,0.461,-5.26,-11.4,0.212,-1.55,-10.1,0.458,0.028,-1.16,0.556,0.098,56.1,39.2,56.3,65.9,46.2,53.2,36.9,62.2
6.06,4.28,1.73,2.63,1.35,3.2,4.38,5.81,7.29,8.55,3.8,23.3,25.9,27.6,31.7,30.2,24.2,15.7,12.2,21.7,23.7,20.4
10.5,10.5,9.16,0.861,8.03,7.37,8.2,-2.84,0.306,1.94,4.27,3.91,10.1,15,12.1,19.9,18.1,9.07,5.82,11.5,15.5,2.07
5.29,7.54,12.5,14.4,16.7,17.3,23.3,21.1,29.9,40.9,50.3,68.9,105.7,164,198.5,234.9,261.2,295.8,311.5,367.8,356.1,-81.7
6.1,-5.41,-3.47,-31.8,5.06,2.58,39.2,75.9,320.3,358,245.4,227.1,426.8,538.9,405.7,455.3,210.4,55.9,-285,110.2,174.5,261.6
19.8,43.2,66.8,3.33,-34.9,1.57,2.27,1.51,0.874,2.68,6.11,5.59,5.58,7.89,9.92,17.2,19.1,17.2,21.5,30.7,31.7,41.6
3.73,5.04,7.16,7.23,10.3,9.63,5.45,-11,-0.051,2.21,-4.26,14.3,39.7,31.7,29.2,41,52.7,49.4,41.8,50.7,50,46.7
14.1,63.3,25.1,-54.3,7.33,13.3,29.5,34.1,31.1,34.2,31.7,48,63.2,69.2,71.4,83.5,117.9,149.4,147.4,169.2,198.8,191
3.87,0.145,-3.8,0.16,0.439,0.915,0.316,0.353,0.839,22.9,26.5,35.2,30.4,31,33.5,87,113.2,126,129.2,132.1,68.8,-76
31.1,33,51.7,30.4,-17.9,-140.3,8.02,-33.8,12,29.2,17.4,17.4,5.96,27.7,28,27.8,32.8,26.6,16.4,18.8,19.2,20.4
10.3,5.18,4.8,4.7,2.73,0.304,-26.2,1.06,1.89,-0.309,4.62,4.01,13.1,18.1,39.3,22.2,21.6,60,56,49,-169.4,-225.6
6.25,5.1,2.97,3.1,3.32,2.12,1.43,-6.36,1.36,1.06,-6.65,-0.811,3.77,6.22,5.72,9.55,7.22,46.8,132.5,183.2,146.3,123.9
10.4,5.01,5.6,10.2,-5.49,1.7,2.39,4.62,6.58,13.2,10.6,11.4,20.4,11.4,20.4,16,16.6,3.73,-11.3,10.8,-9.93,18.5
-8.45,-8.29,-7.12,-2.54,-1.97,-2.16,-0.48,2.75,8.17,7.7,10.4,2.06,2.48,6.72,5.69,5.74,3.41,-0.33,-0.919,12.9,1.22,4.67
94.4,-279.7,-46.5,21.7,-213.1,137.4,125.4,278.2,341.8,311.4,211.5,467,388,379.4,230.4,190.5,239.2,131,156.5,170.4,156.2,202.6
309.4,270.4,139.2,412,-274.3,272.8,189,203,488.9,599.3,623.6,889.3,1082.3,903,123.7,175.3,-63,71.2,17.6,-378,-31.4,314.8
3.93,4.37,4.53,4.52,5.49,5.33,6.67,6.98,4.86,2.38,-6.81,29.9,69.3,103.2,40.5,55.8,41.3,-24.5,105.2,136.1,194.9,215.3
106.6,182.8,399.7,597.9,363.3,221.5,394.6,200.7,236.4,667.3,369.7,450,445.9,207.6,596.1,604.8,481.2,397.1,328.3,415.5,-203.1,-21.6
5.25,3.64,3.82,4.65,3.75,3.97,6.88,6.16,6.82,7.82,4.21,15.1,20.2,27.5,36.3,22.5,36.2,26.9,32.5,38.1,37.6,39.6
4.67,-3.85,12.9,11.2,17.5,-6.78,6.21,-20.7,-38.2,-33.1,-4.85,2.9,21,7.27,12.1,18.2,15.7,16.4,27.6,48.7,28.8,31.7
-16,1.76,-0.272,1.77,1.14,1.19,2.46,6.66,-1.64,-0.096,3.42,-0.158,4.18,25.3,-4.32,-1.48,-18.4,-15.2,-26.2,3.2,7.74,-4.34
-10.9,-8.75,0.585,-10.8,-0.483,22.2,27.1,63.2,80.8,77.7,72.6,225.7,159.3,137.6,206.3,90.2,123.2,-30.7,120.1,197.2,212.9,211.5
3.22,3.04,3.41,1.77,-3.9,0.337,3.15,3.23,5.22,2.87,0.857,-6.26,13.2,8.5,138.8,207.3,212,160.6,84,171.1,240.2,161.6
-44.8,-65.3,-102.3,-34.5,-34.1,-18.3,-11.7,50.5,113.1,155.8,120.8,161,224.5,195.1,259.9,125.6,166.1,125.8,171.3,178.6,224.2,210.5
-0.13,19.5,-10.6,12.5,-11.6,32.4,50.1,54.3,52.5,67,2.3,40.7,-77,-206.9,-196.7,-47.5,111.4,96.4,145.7,175.1,151.1,191.8
52.1,50.9,26.8,15.9,16.5,8.13,20.4,17.6,12.4,25.2,50.6,55.5,86.7,74.9,75.9,59.9,50,21.9,1.26,-5.35,-26,-6.73
-0.844,-1.85,-2.7,-0.402,-0.532,0.173,0.134,0.144,-0.317,-0.604,-1.22,-0.328,-4.24,1.73,3.1,6.29,5.35,2.12,3.56,4.23,3.83,4.31
-0.309,0.716,1.33,-0.009,-9.8,-0.882,2.51,1.04,0.739,1.04,-8.22,31.1,51.1,61,43,25.5,30,75.1,49.7,8.79,54.8,53.2
64.2,73.9,33.5,8.25,41.4,71.3,47.3,46.9,48.1,99,188.6,279.5,339.7,28.8,-157.7,186.8,10.9,11.4,-160.1,57.2,53.1,-54.7
-46.7,11,4.53,-118.6,-68.4,1.44,-5.75,-6.48,2.39,-3.02,-12.5,1.19,161.1,82.7,84,101.7,106.3,80.5,94.2,130.4,119.6,127.8
13.2,13.1,13.4,20.2,7.59,5,7.09,6.28,10.4,13.9,33.2,57.7,70.4,72.9,81.6,100.5,99,109.2,111.5,148.1,128.5,154.7
-1.35,0.371,-1.71,0.117,-0.29,0.232,0.709,0.667,-0.677,-0.196,-0.767,-0.02,0.275,0.25,0.176,-0.121,-0.371,0.826,1.85,5.41,4.48,1.72
7.34,-0.752,1.19,2,-9.82,0.591,1.43,2.4,4.43,10.2,10.8,12.4,15.2,27.1,20.8,24.3,25.6,19.2,18.3,28,33.6,36.7
1.09,0.419,-2.21,-0.836,1.76,3.93,5.08,4.78,5.83,8.07,4.92,4.12,6.52,7.05,5.86,4.45,5.98,7.24,7.55,7.53,7.19,6.96
22,19.9,23.8,27.3,31.4,33,36,33.2,36.3,67,47.7,39.1,47.8,58.2,77,52,60,37.5,184.7,134.9,61.6,50
5.07,4.14,18.8,14.5,18.5,18.8,22,27.5,28.2,34.1,24.1,16.1,15.1,10.5,10.5,4.58,58.7,17.7,5.91,-117,9.24,-56.2
10.5,2.14,7.7,4.25,5.19,12.6,20.3,19.5,25.3,34.1,14.5,29.5,36.9,29.9,15.4,21.2,21.7,17,26.5,25.2,24.2,11.6
8.55,9.05,10.7,13.8,16.1,15.5,7.28,0.043,-12.5,6.05,-29.3,7.77,42.9,89.8,29.6,22,20.5,22.9,24.5,16.6,21,26.9
9.81,10.1,4.41,-0.55,-20.4,5.5,7.75,0.329,3.74,11.3,-0.288,-11.4,1.38,19.6,5.82,1.6,12.2,-66.8,-5.93,-12.6,86.2,111.7
6.27,1.71,1.07,-7.48,2.6,4.12,5.29,5.45,8.56,11.2,18.4,17.2,23.3,22.1,19.5,15.2,33.3,6.49,41.9,83.9,55.1,67.2
4.45,8.9,24.7,36.1,59.4,73.5,87.8,98.5,120.5,167.4,204.4,183.6,166.9,132.8,147.8,184.3,195,169.6,184.3,180.6,193.5,221.9
8.09,5.65,7.91,4.04,-3.75,-13.5,0.507,3.01,0.675,-17.1,0.166,-19.9,-12.9,17.4,6.64,16,15.2,20.8,11.4,-6.49,11.8,1.16
0.95,1.95,3.65,4.99,3.18,6.35,9.58,11.7,26,24.9,31.8,48.5,37.4,46.6,50.6,82.8,82.7,104.1,93.2,123.6,125.4,126.2
8.81,6.31,8.17,4.39,3.61,-11,-24,8.35,8.5,5.02,8.15,15.5,18,3.66,11.7,16.5,20.1,15.1,13.1,13.4,0.591,23
3.85,0.163,-5.28,0.651,0.5,-0.984,0.13,-3.12,1.23,-0.877,-4.63,-0.893,0.58,-1.7,0.567,0.109,0.245,-0.149,-1.01,2.42,1.93,3.47
21.3,15.4,23,15.9,4.88,3.12,3.94,5.15,4.22,7.69,6.46,-25.6,10.8,5.23,-48.2,-3.28,10.2,-17.2,10.6,23.4,34.5,20.1
6.18,6.53,5.83,12,18.1,13.1,3.55,-23,18.7,0.837,5.62,5.77,14.1,5.26,4.55,-2.62,-17.9,5.27,5.85,23.7,29.5,17.7
13.5,-3.67,-28.7,9.72,3.73,1.78,-25,-35.9,-47.7,4.81,30.1,17.3,19,31.6,-10.7,-2.87,-12,23.3,31.9,31.9,26.9,-297
10.8,6.87,2.09,1.23,1.53,2.15,0.525,1.59,-2.31,4.46,1.58,-0.764,1.12,-5.33,-0.316,0.324,-2.78,9.59,18,5.46,-61.2,-40.3
7.53,8.38,5.17,7.4,11.4,9.48,5.65,-30.4,4.46,0.075,7.92,10.7,14,13.7,13,25.1,17.5,-13.5,35,17.4,19.8,25.6
1.43,0,0.183,-9,-7.13,-0.069,-7.59,-4.4,2.8,7.27,6.79,5.28,4.78,4.45,1.39,2.99,2.45,7.79,120.8,147.3,159.7,91.4
12.9,18.7,15.2,14.2,7.85,2.51,3.75,4.02,3.4,6.81,6.09,5.32,4.89,6.1,4.96,4.13,8.47,14.2,-5.21,-193.5,-25,39.1
-2.76,9.26,19.2,19.7,24.7,42.5,50,53.3,85.9,131.5,71.1,214.4,302.2,272.9,295.9,374.1,417.2,470.4,552.6,542.1,700.1,469
-5.33,-4.9,3.73,7.38,13.4,21.2,10.9,11.7,24.6,71.9,76,152.9,209.1,-432.8,-81.4,-23.4,58.3,31.8,-76.2,-150.7,-24.4,-14.1
4.85,7.44,11.4,12.2,11.1,17.5,18.5,2.58,-20.4,6.41,-12.7,15.8,-15.8,-31.2,3.61,2.97,10.6,15,6.67,-2.64,-95.2,-130.4
3.94,10.4,8.4,2.81,2.92,3.04,-44.8,-11.9,1.32,3.57,4.19,0.801,-3.5,-4.96,-2.2,-6.09,1.63,-12.7,-10.5,31.9,42.4,53.7
2.18,1.57,3.54,2.78,1.63,0.16,1.21,2.14,1.15,1.47,1.55,1.17,1.26,22,15.9,28,50,72.2,115.4,129.1,-22.1,-450.5
3.21,4.55,4.77,0.759,1.04,-14.2,1.22,1,0.189,-5.33,-9.26,-6.73,-7.77,-3.52,3.1,0.222,-4.96,0.263,-13.7,-12.8,-8.38,7.79
-4.54,1.83,4.01,1.34,-4.74,-9.45,-5.78,4.16,5.17,8.87,10.8,6.68,10.4,93.3,89.2,82.2,58.7,28.7,35.3,116,97,87.1
4.52,6.22,8.05,7.47,6.38,6.3,5.11,2.51,4.51,7.93,41.7,79.7,93.3,72,32.3,153.1,134.2,22.2,40.3,105.9,123.7,206
3.05,5.53,7.94,8.29,7.46,7.24,6.36,1.02,-8.51,2.44,-3.58,-16.4,4.23,4.64,2.25,0.91,-6.39,-11,-9.18,0.288,-14.5,-9
1.42,2.1,2.16,2.26,-6.59,0.798,-14.3,-11.5,-6.57,4.17,0.826,0.523,0.703,0.495,15.4,54.7,77.1,15.9,26.5,162,290.2,433
10.1,16.1,14.3,11.7,10.7,12.4,7.2,3.95,2.98,8.08,16.7,17.7,16.1,30.5,58.7,58.7,32.3,23.2,13.4,12.7,9.16,2.83
19.7,31.6,42.7,91.4,91.6,126.1,180.4,214.9,240.6,417.7,14.3,693,565.3,809.2,1304.8,1938.3,1886,1613.6,1372,763.5,1089.6,1160.6
2.87,3.04,4.21,5.18,6.23,5.21,5.91,5.66,5.7,6.2,-4.1,-15.4,4.5,-14.5,-23.5,-2.54,-13.2,-2.22,50.4,82.7,112.3,64.2
-8.95,-27.4,-11.2,0.065,-12.3,0.344,-0.343,-5.2,-3.63,3.29,24.1,11.3,28.1,17.5,79.8,33.4,17.5,-23.8,-31.6,-5.81,52.6,23.3
1.39,0.441,3.83,0.019,0.227,-4.81,-15.3,-0.083,3.99,2.41,3.17,1.47,1.07,29.2,58.8,62.1,36.8,6.42,-12.8,42.8,82,80.2
198.9,215.2,234.4,232.9,253.4,383.6,1648.8,1847.4,2432.4,3061.1,2570.5,1360,1579.7,1261.4,765.1,573.3,391.6,-277.2,121.2,149,722.2,416.6
-31.5,-13.9,-94.5,1.37,-23.2,-45.7,-10.5,-10.4,-10.8,-10.7,-12,-2.75,-2.58,-2.18,-2.3,-2.1,-2.44,125.7,233,0.588,0.611,-3.78
11.4,12.3,11.6,6.51,3.77,2.02,1.23,-12.2,-9.03,1.13,-8.87,-8.21,-6.72,6.73,6.9,6.46,5.18,6.18,6.04,6.9,6.47,5.43
9.62,3.08,0.363,-19.9,-29.3,-72.5,21.7,15.5,2.55,23.5,-0.725,53.3,19.4,31,77,123.4,88.1,83.6,60.1,26.9,36.8,34.6
1.71,0.472,-2.27,-7.33,-10.9,3.38,2.66,4.03,4.15,1.27,2.54,4.2,2.08,4.25,5.99,9.68,18.7,22.2,24.5,42.9,15.3,2.12
-1.31,-1.33,-1.28,-1.21,-1.18,-1.23,-1.28,1.09,-1,0.492,-2.43,0.446,0.13,0.058,-0.15,-1.76,0.145,-0.37,-0.193,-0.114,0.281,-0.033
-61,-118.5,-6.24,0.654,4.51,5.5,6.69,5.06,1.4,-0.731,-19.9,2.13,3.6,11.1,6.6,6.17,6.89,4.61,4.32,-2.55,-79.5,-59.7
8.48,4.55,-0.069,0.305,-0.39,-1.22,0.55,0.436,1.81,2.48,4.5,12.4,14.2,9.11,4.69,7.62,4.24,3.1,4.58,7.4,4.07,3.19
3.52,4.59,5.61,4.76,4.67,4.66,4.12,2.27,-25,-15.7,1.52,-10,-7.36,-12,-11.3,-2.65,-1.61,1.49,20.1,28.8,-103.8,1.71
15.4,4,-1.86,-2.61,-0.442,7.8,17.5,-8.85,-11.4,-15.5,-9.61,6.59,-11.4,-48.5,-32.1,25.1,-10.2,-13.5,-5.9,22.5,6.88,9.83
0.333,4.01,2.34,7.74,10.7,11.8,14.1,12.8,9.1,19.7,2.54,19.9,27,6.49,14,16.6,137.9,122.6,37.8,16,-6.42,25.2
3.17,3.46,7.14,11,11,13.1,13.8,16.1,17.8,21.1,19.2,17.4,24.2,30.2,35.9,68.8,73.2,89.3,104.5,130.6,162.7,153.9
7.43,7.14,7.84,5.41,2.02,3.97,7.2,2.61,4.85,5.41,5.43,12.1,23.6,21.2,19.6,25.4,28.4,14.4,24.1,23.7,19,38.9
2.53,2.82,3.18,3.75,-0.162,1.29,2.76,3.68,3.02,16.5,20.9,7.63,4.88,2.95,-4,1.92,15.2,-1.25,-7.21,5.73,-17.4,-19.6
31.5,32.5,36.8,39.6,44.2,47.9,60.5,78.4,108.6,195.9,352.8,494.8,731.8,995.3,1328.2,1861.9,2814.3,2268.7,2831.3,3952.3,4442.7,4229.6
-3.19,-12.9,8.65,16.1,22.5,36.3,90.7,136.1,133.5,189.4,281.2,146.4,146.1,88.1,99.8,85.8,89.6,26.5,34.1,61.8,49.8,32.5
5.14,7.38,4.38,0.895,-3.74,1.03,0.781,0.605,1.64,10.1,12.8,-6.66,1.11,0.925,-20.5,14.7,-5.37,3.96,6.2,6.61,14.5,14.1
4.65,5.46,5.69,4.67,5.19,6.29,6.81,10.6,34.5,46.8,64.1,97.4,64.7,46.3,95.5,242,208.8,138.8,129.9,57.9,130.8,162.5
152.6,187.3,233.4,255.7,238.8,245.1,196.3,169,180.3,169.4,-40.2,281.7,183.6,313.9,588.8,965.7,933.1,889.8,400.6,255.7,203,380.7
15.5,28.9,46.3,5.29,4.09,5.7,4.31,2.13,7.49,20.2,-45.8,6.48,37.9,26.3,9.6,9.63,15.4,6.12,20.6,51.3,191.9,58.6
4.08,2.54,3.84,3.41,-29.9,1.24,0.384,-18.7,0.527,-6.58,-10.7,-4.82,-11.7,-49.5,-4.08,3.79,1.69,-15.5,-23.4,-12.4,21.2,18.1
