Ano_1998,Ano_1999,Ano_2000,Ano_2001,Ano_2002,Ano_2003,Ano_2004,Ano_2005,Ano_2006,Ano_2007,Ano_2008,Ano_2009,Ano_2010,Ano_2011,Ano_2012,Ano_2013,Ano_2014,Ano_2015,Ano_2016,Ano_2017,Ano_2018,Ano_2019
4.04,-4.55,-4.83,-59.1,0.336,-2.34,-17.4,-0.357,17.7,11.5,20.6,21.5,6.68,5.43,-0.673,-0.864,28.7,29.8,35.4,51,59.7,54.7
8.88,2.19,-11.6,-10.9,0.802,-4.72,3.49,3.62,4.24,5.16,22,32.6,36,-27.8,7.2,27.9,-71,8.67,4.76,-113.2,3.77,13.6
4.99,4.35,4.59,4.79,5.23,6.13,6.8,5.89,8.52,12,14.2,15.4,13.6,9.13,7.05,9.97,15.6,9.4,10.1,11.6,11.1,9.46
12.5,11.1,3.59,6.68,4.34,2.46,2.95,-10.1,-10.8,-73,1.35,11,11.4,3.73,13.2,14.4,13.9,1.69,2.76,5.48,10.3,15.2
2.07,7.59,12.3,-28.9,-48.3,-11.3,3.1,-2.96,-17.1,14.5,6.92,34,8.87,17.2,15.8,-7.05,16,26.5,12.2,17.7,69.9,89.3
0.73,-0.901,0.049,0.138,0.182,0.653,1.43,1.37,10.9,18.2,36.2,42.9,45.7,36,73.1,37.2,34.6,-74,30.8,31.1,37.6,55.1
12.5,7.23,3.61,-6.28,-8.76,0.58,-6.12,0.109,-8.04,1.41,-2.48,10.6,14.1,-20.6,-20.7,-24,-29.5,-57,86.7,126.3,127,144.6
11,6.89,8.86,6.92,7.33,4.1,3.21,5.27,9.96,14.5,66.7,52.3,56.8,72.7,36.9,65.1,57.9,48.8,55.7,76.6,94.8,83.5
3.75,4.1,4.9,7.8,7.97,9.54,10.7,11.6,13.1,14.3,16,12.6,20.1,19.3,47,49.9,58.7,78.4,73.8,83,78.8,93.2
9.92,7.89,8.77,6.77,7.63,4.35,4.57,5.55,7.91,15.9,16.7,20.3,15.9,16.1,14.2,24,30.8,23.1,15.3,15.8,20.2,27.1
7.26,6.92,7.07,6.26,6.47,8.34,9.69,21.8,28.6,67.6,163.3,99.1,51.3,18.6,-161.5,-521,16.7,54.3,8.11,14.9,-60.2,-3.47
223.2,410.1,528.9,448.2,732.9,1199.6,1637.8,2268.9,2455.9,2677,1232.5,1123.4,2522.8,1458.8,845.1,1544.7,1400.2,436.7,1805.4,3871.9,4086.6,2078.3
1.45,0.708,0.907,-0.631,-9.49,0.344,0.607,1.91,4.6,3.14,2.86,-16.2,-22.8,-2.84,-12.4,-20.4,-26.8,-19.4,-11.3,-2,-14.2,-31.7
7.04,9.21,10.8,9.85,10.5,11.5,9.84,3.6,4.1,11.6,-21,9.73,-8.34,16.4,1.1,1.65,1.36,24.1,1.28,-1.65,-7.6,7.52
7.62,9.99,11.8,9.36,9.15,10.1,9.05,-2.42,-10.4,3.37,-22.3,-22.8,3.24,-15.6,-0.012,-20.1,-20,4.44,2.74,0.118,-1.4,-0.356
24.5,12.9,13.2,-1.97,0.844,0.435,3.48,-2.48,0.65,7.37,7.74,4.19,-8.18,21.7,-17,-17.1,1.6,-2.45,-38.6,-34.8,-22.5,-55.4
2.08,1.13,0.595,0.628,1.82,0.83,0.962,2.44,3.55,1.93,2.34,3.12,4.07,5.39,6.91,8.55,6.88,5.37,1.67,0.74,1.53,2.35
0.567,0.203,0.737,0.549,0.489,0.459,0.749,-6.13,0.729,2.04,1.08,0.928,0.121,-2.14,1.47,1.64,0.765,-3.73,-8.62,6.24,16.9,2.04
-14.1,-7.12,-0.765,2.57,2.57,2.79,3.02,4.14,3.39,1.11,-2.81,0.571,4.53,7.73,6.5,10.6,7.42,4.9,10.5,6.39,26.2,11.9
5.93,8.71,9.87,14.5,20.5,8.49,6.4,-3.83,-36.1,9.25,18.4,20.6,25.4,34.6,37.9,41.2,44,38.5,24.9,24,29.2,31.5
