,Marca,Modelo,Linha,Sim,Tizen,Amazon Prime Video,Globoplay,Netflix,Youtube,Acesso à Internet,Assistente Pessoal,Controle com Comando de Voz,Grava Programação,HDR,Conversor Digital Integrado e Interativo (DTVi),LED,Tamanho da Tela,4K,Frequência Nativa,Bluetooth,Tecnologia DLNA,Wi-Fi integrado,Espelhamento de Tela,HDMI,LAN (Rede),USB,3 HDMI,Altura com base,Altura sem base,Largura,Profundidade com base,Profundidade sem base,price (avg),price (med),WebOS,Conversor Digital Integrado,Facebook,OLED,Design da Tela,4 HDMI,Android,Controle por Smartphone,Controle com Função Mouse,Função Estádio,Nano Cristal,IPS (In Plane Switching),2 HDMI,Picture in Picture(PiP),QLED,Frequência Máxima,ConnectShare,Slim,Saphi,Disney Plus,Tela Plana,Neo QLED,Roku,Sistema Operacional,One Connect,PC,VA (Vertically Aligned),Suporte para Controle por Movimento,HDMI 2.1,HDMI 2.0,Ultra Slim,Linux,Cartão de Memória,Vidaa,Fone de Ouvido P2,NFC,Full HD,HD,Suporte para Wi-Fi,8K,LCD,Super Slim,Spotify,Potência (RMS),Smart TV
165,Philco,PTV65A11DSGWA,False,True,False,False,False,False,True,True,False,False,False,False,True,True,65.0,True,60.0,False,False,True,False,True,False,True,True,90.0,84.0,146.0,28.2,8.0,6499.9,6499.9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
166,Samsung,QN55LS01TAGXZD,The Serif,True,True,False,False,False,False,True,True,False,False,True,False,False,55.0,True,120.0,True,False,True,True,True,False,True,False,123.7,74.8,125.4,48.2,22.1,12499.0,12499.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,240.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
167,Philco,PTV65F60DSWN,False,True,False,False,False,True,False,False,False,False,False,False,False,True,65.0,True,60.0,False,False,True,False,True,True,True,True,False,False,False,False,False,5799.903333333333,5999.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
168,Philco,PTV75E30DSWNT,False,True,False,False,False,True,True,False,False,False,False,False,False,True,75.0,True,60.0,False,False,True,True,True,True,True,True,False,False,False,False,False,9633.236666666666,9999.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
169,LG,65UN731C,ThinQ AI,True,False,True,False,True,True,True,True,False,False,True,False,True,65.0,True,60.0,True,False,True,True,True,True,True,True,False,False,146.0,False,False,5536.25,5536.25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170,Samsung,QN50QN90AAG,False,True,True,False,False,False,False,True,True,True,True,True,True,False,50.0,True,120.0,True,True,True,True,True,True,True,False,70.89,64.49,111.4,22.26,2.69,5557.9608333333335,5699.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
171,Samsung,UN40T5300AGXZD,False,True,True,True,True,True,True,True,False,False,False,True,False,True,40.0,False,60.0,False,False,True,True,True,True,True,False,55.24,52.77,91.71,17.03,7.7,2337.610833333333,1971.525,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
172,LG,32LM621CBSB,ThinQ AI,True,False,False,False,True,True,True,True,False,False,True,False,True,32.0,False,False,True,False,True,True,True,True,True,True,47.2,44.5,74.2,18.0,8.7,1521.9575,1426.745,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
173,LG,24TL520S,False,True,False,False,False,True,True,True,False,False,True,False,False,True,23.6,False,False,False,False,True,False,True,True,True,False,36.7,34.0,56.3,15.0,5.8,1238.6333333333332,1099.2,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
174,AOC,43S5195,False,True,False,False,False,True,True,True,False,False,True,False,False,True,43.0,False,60.0,False,False,False,True,True,True,True,True,60.2,56.2,96.9,21.4,8.0,2028.0275,1757.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
175,TCL,50P615,Android TV,True,False,False,False,True,True,True,True,True,False,True,False,True,50.0,True,60.0,True,False,True,False,True,True,True,True,77.0,False,127.0,12.4,False,2792.5325,2378.995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
176,Samsung,UN32T4300AGXZD,False,True,True,True,True,True,True,True,False,False,False,True,True,True,32.0,False,60.0,False,True,True,True,True,True,True,False,46.5,43.8,73.7,15.0,7.4,1671.6683333333333,1578.025,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
177,TCL,43S6500,False,True,False,False,True,True,True,True,False,True,False,True,True,True,43.0,False,60.0,True,True,True,False,True,True,True,False,62.2,56.8,97.0,18.4,7.7,2236.590833333333,1994.05,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
178,LG,43LM631C0SB,ThinQ AI,True,False,False,False,True,True,True,True,False,False,False,False,True,43.0,False,False,True,False,True,True,True,True,True,True,False,False,97.3,False,False,2199.2658333333334,2078.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
179,LG,75UP8050PSB,ThinQ AI,True,False,True,False,True,True,True,True,True,False,True,False,True,75.0,True,60.0,True,False,True,True,True,False,True,False,102.7,96.4,167.8,36.2,5.99,6249.506666666666,5651.525,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
180,Samsung,LH32BETBLGGXZD,False,True,True,True,False,True,True,True,False,False,False,False,False,True,32.0,False,60.0,False,False,True,False,False,False,True,False,46.5,43.8,73.7,15.0,7.4,1705.0269166666667,1499.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
